key,benchmark,batch_size,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_context_length,padding_fraction,active_experts_median,active_experts_p95,active_experts_max,gpu_ttft_ms_median,gpu_itl_ms_median,gpu_e2e_ms_median,gpu_batch_throughput_tokens_s_median,gpu_batch_energy_joules_median,A_original_cycles,B_arlo_cycles,C_fixed_cycles,D_affine_cycles,E_overlap_cycles,D_speedup_vs_A,D_speedup_vs_B,D_speedup_vs_C,C_bank_stall_cycles,D_bank_stall_cycles,D_tpot_ms_proxy,D_aggregate_throughput_tokens_s_proxy
swebench_verified_b2_g0,swebench_verified,2,0,swebench_verified:astropy__astropy-14096|swebench_verified:astropy__astropy-12907,387,478,478,0.09518828451882845,11.0,12.0,12,79.731471,5.068441,237.921788,268.8595635798878,71.03040461112926,213094197,152612661,95064821,82499829,82499829,2.5829653174190215,1.8498542706070336,1.1523032490164313,376832,0,2.57811965625,775.7591836947929
swebench_verified_b2_g1,swebench_verified,2,1,swebench_verified:astropy__astropy-14539|swebench_verified:astropy__astropy-14365,609,618,618,0.007281553398058253,11.0,12.0,12,79.656668,5.0522124999999996,236.7784095,270.17861351374586,71.74419416662951,212510803,152029267,94481427,81916435,81916435,2.5942389094447287,1.8559067786580312,1.1533879251459125,376832,0,2.55988859375,781.2839999689928
swebench_verified_b2_g2,swebench_verified,2,2,swebench_verified:astropy__astropy-13236|swebench_verified:astropy__astropy-14182,633,708,708,0.05296610169491525,11.0,12.0,12,80.053765,5.075208,238.249169,268.53520788844867,73.5221586660825,213296040,152814504,95266664,82701672,82701672,2.579101907395536,1.8477801029222238,1.1519315353140622,376832,0,2.58442725,773.8658536432008
swebench_verified_b2_g3,swebench_verified,2,3,swebench_verified:astropy__astropy-13033|swebench_verified:astropy__astropy-14995,920,939,939,0.010117145899893504,11.0,12.0,12,80.4321935,5.0700769999999995,237.9506445,268.86428092269637,74.588811167547,212231741,151750205,94202365,81637373,81637373,2.599688515209817,1.8588325349469537,1.153912252908971,376832,0,2.55116790625,783.954672328812
swebench_verified_b2_g4,swebench_verified,2,4,swebench_verified:astropy__astropy-14369|swebench_verified:astropy__astropy-14508,982,1050,1050,0.03238095238095238,11.0,12.0,12,81.0319475,5.1044775,239.55707,267.05924166428554,75.665558912298,213646392,153164856,95617016,83052024,83052024,2.572440522340551,1.8442037728063074,1.1512906175531616,376832,0,2.59537575,770.6013281506541
swebench_verified_b2_g5,swebench_verified,2,5,swebench_verified:astropy__astropy-14598|swebench_verified:astropy__astropy-13977,1125,1168,1168,0.018407534246575343,11.0,12.0,12,81.41182699999999,5.108203,240.02806650000002,266.54237884824477,76.5486104268445,213336337,152854801,95306961,82741969,82741969,2.578332853065172,1.8473672169923827,1.1518575416062433,376832,0,2.58568653125,773.4889654366335
swebench_verified_b2_g6,swebench_verified,2,6,swebench_verified:astropy__astropy-13398|swebench_verified:astropy__astropy-14309,1531,1621,1621,0.027760641579272053,11.0,12.0,12,81.0222355,5.0985534999999995,239.5609065,267.0565792457919,79.760464828299,213180036,152698500,95150660,82585668,82585668,2.5813199936821967,1.8489709376692334,1.1521449460213846,376832,0,2.580802125,774.9528647028683
swebench_verified_b2_g7,swebench_verified,2,7,swebench_verified:astropy__astropy-13579|swebench_verified:astropy__astropy-13453,1812,2855,2855,0.18266199649737302,11.0,12.0,12,81.431865,5.0981365,239.913992,266.6643219927646,85.6744550453875,213482996,153001460,95453620,82888628,82888628,2.5755402297164336,1.8458679277451666,1.1515888524539217,376832,0,2.590269625,772.1203926791984
swebench_verified_b4_g0,swebench_verified,4,0,swebench_verified:astropy__astropy-14096|swebench_verified:astropy__astropy-12907|swebench_verified:astropy__astropy-14539|swebench_verified:astropy__astropy-14365,387,618,618,0.15372168284789645,20.0,23.0,24,81.9478705,5.603177499999999,255.2370145,501.1356487830613,83.9172638039865,375616381,254653309,139557629,114427645,114427645,3.2825667346382947,2.225452677978298,1.2196146219735624,753664,0,3.57586390625,1118.61080423354
swebench_verified_b4_g1,swebench_verified,4,1,swebench_verified:astropy__astropy-13236|swebench_verified:astropy__astropy-14182|swebench_verified:astropy__astropy-13033|swebench_verified:astropy__astropy-14995,633,939,939,0.14802981895633652,19.0,23.0,24,83.8055065,5.6430655000000005,258.9090635,493.98465101216823,85.34698761756977,373914241,252951169,137855489,112725505,112725505,3.3170331860566957,2.24395684898462,1.2229307732974892,753664,0,3.52267203125,1135.5016772823506
swebench_verified_b4_g2,swebench_verified,4,2,swebench_verified:astropy__astropy-14369|swebench_verified:astropy__astropy-14508|swebench_verified:astropy__astropy-14598|swebench_verified:astropy__astropy-13977,982,1168,1168,0.0742722602739726,20.0,23.0,24,84.1774115,5.665452999999999,259.44604449999997,492.9194188536308,90.4769748403485,376396788,255433716,140338036,115208052,115208052,3.2671048721490403,2.217151592841792,1.2181269760554583,753664,0,3.600251625,1111.0334545019475
swebench_verified_b4_g3,swebench_verified,4,3,swebench_verified:astropy__astropy-13398|swebench_verified:astropy__astropy-14309|swebench_verified:astropy__astropy-13579|swebench_verified:astropy__astropy-13453,1531,2855,2855,0.31532399299474606,19.0,23.0,24,82.693358,5.64124,256.976281,497.8101190810627,105.37638534623149,375315754,254352682,139257002,114127018,114127018,3.28857934411289,2.2286806968004718,1.2201931185129187,753664,0,3.5664693125,1121.5573861747619
swebench_verified_b8_g0,swebench_verified,8,0,swebench_verified:astropy__astropy-14096|swebench_verified:astropy__astropy-12907|swebench_verified:astropy__astropy-14539|swebench_verified:astropy__astropy-14365|swebench_verified:astropy__astropy-13236|swebench_verified:astropy__astropy-14182|swebench_verified:astropy__astropy-13033|swebench_verified:astropy__astropy-14995,387,939,939,0.2955271565495208,32.0,39.25,45,83.03060550000001,5.7257475,259.05900499999996,987.1317607616022,103.7606268602235,688564262,446638118,216446758,166186790,166186790,4.143315253877881,2.6875669119067767,1.302430584284106,1507328,0,5.1933371875,1540.4353137815588
swebench_verified_b8_g1,swebench_verified,8,1,swebench_verified:astropy__astropy-14369|swebench_verified:astropy__astropy-14508|swebench_verified:astropy__astropy-14598|swebench_verified:astropy__astropy-13977|swebench_verified:astropy__astropy-13398|swebench_verified:astropy__astropy-14309|swebench_verified:astropy__astropy-13579|swebench_verified:astropy__astropy-13453,982,2855,2855,0.46830122591943957,33.0,40.0,44,87.35812999999999,5.775917,265.0861145,964.5027823947688,132.52613086409227,693292102,451365958,221174598,170914630,170914630,4.0563648764298295,2.640885440877706,1.2940647503376392,1507328,0,5.3410821875,1497.8237965936562
