state_mode,model,case,phase,batch,tokens,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_D_prime,speedup_vs_D,bank_stall_cycles,matrix_sram_service_cycles,physical_hbm_read_bytes,physical_hbm_write_bytes
official_fp32_streamed,nemotron3,prefill_b1_s128,prefill,1,128,B_arlo_static,19731330,19731.33,1.0,1.0,1.0,1.0,0,0,18973663744,364331008
official_fp32_streamed,nemotron3,prefill_b1_s128,prefill,1,128,C_multirow_original_fixed,19731330,19731.33,1.0,1.0,1.0,1.0,0,0,18973663744,364331008
official_fp32_streamed,nemotron3,prefill_b1_s128,prefill,1,128,D_prime_best_global_fixed,19731330,19731.33,1.0,1.0,1.0,1.0,0,0,18973663744,364331008
official_fp32_streamed,nemotron3,prefill_b1_s128,prefill,1,128,D_compiler_per_tile_affine,19731330,19731.33,1.0,1.0,1.0,1.0,0,0,18973663744,364331008
official_fp32_streamed,nemotron3,prefill_b1_s128,prefill,1,128,E_affine_plus_matrix_overlap,19731330,19731.33,1.0,1.0,1.0,1.0,0,0,18973663744,364331008
official_fp32_streamed,kimi_k3,decode_b1_t1,decode,1,1,A_original_fixed,105011094,105011.094,1.0,0.9348393418318259,0.9368591855637652,0.9348406559786911,0,0,137479429888,455818240
official_fp32_streamed,kimi_k3,decode_b1_t1,decode,1,1,B_arlo_static,98168502,98168.502,1.0697025202645956,1.0,1.0021606319305962,1.0000014057462139,0,0,137479429888,455818240
official_fp32_streamed,kimi_k3,decode_b1_t1,decode,1,1,C_multirow_original_fixed,98804544,98804.544,1.0628164429360658,0.993562624002394,0.9957093471328606,0.993564020699291,635904,847872,137479429888,455818240
official_fp32_streamed,kimi_k3,decode_b1_t1,decode,1,1,D_prime_best_global_fixed,98380608,98380.608,1.0673962698014634,0.997844026334946,1.0,0.997845429050408,211968,423936,137479429888,455818240
official_fp32_streamed,kimi_k3,decode_b1_t1,decode,1,1,D_compiler_per_tile_affine,98168640,98168.64,1.0697010165364418,0.9999985942557623,1.0021592231490626,1.0,0,211968,137479429888,455818240
official_fp32_streamed,kimi_k3,decode_b1_t1,decode,1,1,E_affine_plus_matrix_overlap,97890432,97890.432,1.0727411438944308,1.0028406249141897,1.0050073943896785,1.0028420346536013,0,211968,137479429888,455818240
official_fp32_streamed,kimi_k3,decode_b2_t1,decode,2,1,A_original_fixed,138779181,138779.181,1.0,0.9013887825148644,0.9044455234247275,0.9013907712857882,0,0,163823056320,911636480
official_fp32_streamed,kimi_k3,decode_b2_t1,decode,2,1,B_arlo_static,125093997,125093.997,1.1093992064223512,1.0,1.003391145939641,1.0000022063408847,0,0,163823056320,911636480
official_fp32_streamed,kimi_k3,decode_b2_t1,decode,2,1,C_multirow_original_fixed,126366081,126366.081,1.0982312650813315,0.9899333429514207,0.9932903513878855,0.9899355270818282,1271808,1695744,163823056320,911636480
official_fp32_streamed,kimi_k3,decode_b2_t1,decode,2,1,D_prime_best_global_fixed,125518209,125518.209,1.10564978663773,0.996620315065203,1.0,0.9966225139493505,423936,847872,163823056320,911636480
official_fp32_streamed,kimi_k3,decode_b2_t1,decode,2,1,D_compiler_per_tile_affine,125094273,125094.273,1.1093967587149254,0.9999977936639833,1.0033889321216167,1.0,0,423936,163823056320,911636480
official_fp32_streamed,kimi_k3,decode_b2_t1,decode,2,1,E_affine_plus_matrix_overlap,124537857,124537.857,1.114353372886447,1.004465630077447,1.007871919620393,1.004467846271034,0,423936,163823056320,911636480
official_fp32_streamed,kimi_k3,decode_b4_t1,decode,4,1,A_original_fixed,206316012,206316.012,1.0,0.8673376451266419,0.8714498998749549,0.8673403206339603,0,0,216510309248,1823272960
official_fp32_streamed,kimi_k3,decode_b4_t1,decode,4,1,B_arlo_static,178945644,178945.644,1.1529535304027854,1.0,1.004741238629983,1.0000030847356083,0,0,216510309248,1823272960
