point_key,point_id,level,mode,module,top_module,status,worker_id,elapsed_sec,area_um2,dynamic_power,leakage_power,total_power,report_dir,summary_log,failure_reason,ACT_WIDTH,KV_WIDTH,WEIGHT_WIDTH,T_BITS,L_BITS,T_EXP,T_MANT,L_EXP,L_MANT,BLOCK_DIM,ACC_DEPTH,ACC_WIDTH,ACC_FRAC_WIDTH,FP_EXP_WIDTH,FP_MANT_WIDTH,COMPUTE_DIM,SYS_ARRAY_AMOUNT,STRUCTURAL_COMPOSITE,PE_AREA_UM2,raw_synth_area_um2,MLEN,BLEN,scale_width,hier_total_area,hier_compute_unit_area,hier_array_area,hier_reduce_area,hier_output_accumulator_area,hier_output_conversion_area,hier_result_buffer_area,hier_io_pipeline_area,hier_control_area,hier_accum_area,hier_top_glue_area,_source_csv
matrix_machine_mxfp_0b9340187a13,p0_mm_mxfp_e2m1_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,7,45717.791,89965.291129,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_05d3f0c97e1411b4,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_05d3f0c97e1411b4/summary.log,,MXFP_E2M1,MXFP_E2M1,MXFP_E2M1,,,2,1,2,1,,,,,,,,,,,,32,8,8,89965.2911,89287.8898,65762.8268,19572.3522,0.0,1134.6751999999992,2593.7673999999997,194.73039999999997,706.9391000000032,0.0,677.4012999999977,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_3de59951f6bb,p0_mm_mxfp_e4m3_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,8,14766.483,101793.622139,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_faf92a16a00f95d5,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_faf92a16a00f95d5/summary.log,,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,,,4,3,4,3,,,,,,,,,,,,32,8,8,101793.6221,100933.8396,77311.90699999999,19573.0083,0.0,1134.6751999999992,2593.8258,286.46770000000004,893.7381000000023,0.0,859.7824999999866,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_bd5468531290,p0_mm_mxfp_e5m2_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,9,21458.067,99396.713881,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_0cf9e442d5386df2,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_0cf9e442d5386df2/summary.log,,MXFP_E5M2,MXFP_E5M2,MXFP_E5M2,,,5,2,5,2,,,,,,,,,,,,32,8,8,99396.7139,98536.9313,74915.65479999999,19572.3522,0.0,1134.6751999999992,2593.8258,286.46770000000004,893.7382000000216,0.0,859.7826000000059,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_a09cc96c0216,p0_mm_mxfp_t_e1m2_l_e4m3_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,8,14414.262,98863.785758,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_8de24f8d230c251c,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_8de24f8d230c251c/summary.log,,MXFP_E4M3,MXFP_E1M2,MXFP_E1M2,,,1,2,4,3,,,,,,,,,,,,32,8,8,98863.7858,98095.2886,74519.74969999999,19572.3522,0.0,1134.6751999999992,2593.7673999999997,240.5116,802.7297000000253,0.0,768.497199999998,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_3845a64fc63a,p0_mm_mxfp_t_e2m1_l_e5m2_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,2,18880.95,96848.246564,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_d45977c874ba507c,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_d45977c874ba507c/summary.log,,MXFP_E5M2,MXFP_E2M1,MXFP_E2M1,,,2,1,5,2,,,,,,,,,,,,32,8,8,96848.2466,96079.7931,72504.16679999999,19572.4834,0.0,1134.6751999999992,2593.7673999999997,240.5116,802.6422000000166,0.0,768.4535000000033,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_99da14ccf853,p0_mm_mxfp_t_e4m3_l_e1m2_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,10,54849.682,98603.94101,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_7273bd103d35661e,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_7273bd103d35661e/summary.log,,MXFP_E1M2,MXFP_E4M3,MXFP_E4M3,,,4,3,1,2,,,,,,,,,,,,32,8,8,98603.941,97835.4001,74264.5122,19572.3522,0.0,1134.6751999999992,2593.7673999999997,240.5116,798.122400000022,0.0,768.5409000000072,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_46c627e84318,p0_mm_mxfp_t_e5m2_l_e2m1_m32_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,9,19365.58,96588.839216,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_2c7a421669253086,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_2c7a421669253086/summary.log,,MXFP_E2M1,MXFP_E5M2,MXFP_E5M2,,,5,2,2,1,,,,,,,,,,,,32,8,8,96588.8392,95820.2983,72248.973,19572.7896,0.0,1134.6751999999992,2593.7673999999997,240.5116,798.1224000000075,0.0,768.5409000000072,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_b5df42d4cc6c,p1_mm_mxfp_e1m2_m64_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,8,52108.69,186986.544026,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_908560c9c40a1ae5,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_908560c9c40a1ae5/summary.log,,MXFP_E1M2,MXFP_E1M2,MXFP_E1M2,,,1,2,1,2,,,,,,,,,,,,64,8,8,186986.544,185647.8668,134441.0696,44845.0177,0.0,1135.505499999999,4872.665300000001,389.4026,1302.8833000000159,0.0,1338.6772000000055,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_faa1504a3e8f,p1_mm_mxfp_e2m1_m64_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,10,54783.012,184074.641052,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_2d1143458e3b9c36,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_2d1143458e3b9c36/summary.log,,MXFP_E2M1,MXFP_E2M1,MXFP_E2M1,,,2,1,2,1,,,,,,,,,,,,64,8,8,184074.6411,182735.9638,131528.8314,44845.1927,0.0,1135.7676999999992,4872.665300000001,389.4026,1302.7814000000362,0.0,1338.6773000000103,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_cf8a978f6ab4,p1_mm_mxfp_e4m3_m64_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,9,88628.599,207729.947131,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_a58593d584c0bc55,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_a58593d584c0bc55/summary.log,,MXFP_E4M3,MXFP_E4M3,MXFP_E4M3,,,4,3,4,3,,,,,,,,,,,,64,8,8,207729.9471,206027.4697,154626.17579999997,44847.5984,0.0,1135.5054999999993,4872.300800000001,572.2942,1676.0724000000046,0.0,1702.4774000000034,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_6dcddb2ccc91,p1_mm_mxfp_e5m2_m64_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,2,88055.576,202935.037116,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_bcf514bcff0ba13a,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_bcf514bcff0ba13a/summary.log,,MXFP_E5M2,MXFP_E5M2,MXFP_E5M2,,,5,2,5,2,,,,,,,,,,,,64,8,8,202935.0371,201232.5597,149833.67159999997,44845.1927,0.0,1135.5054999999993,4872.300800000001,572.2942,1676.072300000029,0.0,1702.4773999999743,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_58984cb7c495,p1_mm_mxfp_t_e1m2_l_e4m3_m64_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,3,70324.558,201870.93047,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_bdc73cdb1d0f35e7,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_bdc73cdb1d0f35e7/summary.log,,MXFP_E4M3,MXFP_E1M2,MXFP_E1M2,,,1,2,4,3,,,,,,,,,,,,64,8,8,201870.9305,200350.3532,149042.18149999998,44845.4988,0.0,1135.505499999999,4872.665300000001,480.8484,1494.2310000000289,0.0,1520.5772999999754,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
matrix_machine_mxfp_5d71ef2dd155,p1_mm_mxfp_t_e4m3_l_e1m2_m64_b8,matrix_machine,mxfp,matrix_machine,matrix_machine,complete,6,69665.904,201349.126874,,,,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_407e8d6c54a16672,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/reports/matrix_machine_407e8d6c54a16672/summary.log,,MXFP_E1M2,MXFP_E4M3,MXFP_E4M3,,,4,3,1,2,,,,,,,,,,,,64,8,8,201349.1269,199828.637,148531.07989999998,44844.974,0.0,1135.3743999999992,4872.2133,480.84839999999997,1484.6369000000122,0.0,1520.489900000015,Workspace/area_new_scheduler/runs/big_area_regression_v2_20260707_052626/calibration_points.csv
