benchmark,mode,batch_size,generation_limit,group_index,sample_ids,prompt_length_min,prompt_length_max,padded_prompt_length,warmup,measurements,request_measurement_count,generated_tokens_total,ttft_ms_median,ttft_ms_p95,itl_ms_median,itl_ms_p95,tpot_ms_median,tpot_ms_p95,e2e_ms_median,e2e_ms_p95,batch_throughput_tokens_per_s_median,batch_throughput_tokens_per_s_p95,gpu_memory_used_peak_bytes,batch_energy_joules_median,batch_energy_joules_p95,batch_tokens_per_joule_median,power_status
swebench_verified,b1_long,1,128,8,"[""swebench_verified:astropy__astropy-14369""]",982,982,982,5,20,20,2560,82.37426500000001,83.67744585000001,4.451282,4.64373815,4.471622303149607,4.484346497637795,650.1935905,652.68071975,196.86238857101594,197.91425040428396,67472523264,197.22662194967796,203.11213286304948,0.6489997427844736,supported
swebench_verified,b1_long,1,128,9,"[""swebench_verified:astropy__astropy-14508""]",1050,1050,1050,5,20,20,2560,82.317098,113.91928025000037,4.450621,4.673968400000001,4.477938350393701,4.485496419291339,650.891595,682.5892157000004,196.65147891718647,197.11082776838876,67472523264,198.12018114906996,215.7800973045014,0.6460724968733802,supported
swebench_verified,b1_long,1,128,10,"[""swebench_verified:astropy__astropy-14598""]",1125,1125,1125,5,20,20,2560,82.27875900000001,87.07076095,4.4474920000000004,4.6800212,4.475566673228347,4.495338188976378,650.2817615,657.0412311,196.83575508717573,198.13829586411535,67472523264,198.24787828381477,222.00675707150072,0.6456565510856609,supported
swebench_verified,b1_long,1,128,11,"[""swebench_verified:astropy__astropy-13977""]",1168,1168,1168,5,20,20,2560,80.98485600000001,84.57889404999999,4.4472974999999995,4.7490195,4.485877570866141,4.502607518110236,651.407864,654.6337217500001,196.49553244458986,198.5721639316955,67472523264,197.810984417597,220.36448692196328,0.6470824409450169,supported
swebench_verified,b1_long,1,128,12,"[""swebench_verified:astropy__astropy-13398""]",1531,1531,1531,5,20,20,2560,83.367838,89.1580927,4.4332155,4.7303465,4.464648602362205,4.514910967716535,650.5154,659.7667768499999,196.76472125808527,197.90780499535978,67472523264,199.50667314523326,204.10376253991313,0.6415837352624443,supported
swebench_verified,b1_long,1,128,13,"[""swebench_verified:astropy__astropy-14309""]",1621,1621,1621,5,20,20,2560,83.457511,86.76009115,4.4425625,4.6908849,4.465573885826771,4.494100790551181,650.0897965,655.8087111,196.89358235987964,197.71303535187505,67472523264,200.20305555329853,210.07825409555352,0.639351024695175,supported
swebench_verified,b1_long,1,128,14,"[""swebench_verified:astropy__astropy-13579""]",1812,1812,1812,5,20,20,2560,81.690394,83.77567985,4.433636,4.657338500000001,4.451306913385826,4.487333691338582,647.294852,652.6276084,197.7440644353993,202.5189571963164,67472523264,200.55197349192326,216.9107667914588,0.638238723037523,supported
swebench_verified,b1_long,1,128,15,"[""swebench_verified:astropy__astropy-13453""]",2855,2855,2855,5,20,20,2560,81.6008765,84.94086095,4.4576435,4.7566338,4.488090279527559,4.509517566929134,652.1802495,654.73419185,196.26253858640794,197.07037194913946,67472523264,204.60806504638472,232.22080007150066,0.6255916513904869,supported
swebench_verified,batch_sweep,1,32,0,"[""swebench_verified:astropy__astropy-14096""]",387,387,387,5,20,20,640,79.6511785,82.3150436,4.4379705000000005,4.641473899999999,4.45742279032258,4.5000073241935485,217.9229775,221.0627576,146.836199677278,147.81776020674695,67472523264,62.046137559346,75.85940456075436,0.5157479191854215,supported
swebench_verified,batch_sweep,1,32,1,"[""swebench_verified:astropy__astropy-12907""]",478,478,478,5,20,20,640,79.56178700000001,82.13298660000001,4.444427,4.64311095,4.462185629032258,4.487192512903226,217.86144000000002,221.12674815000003,146.87800078168226,147.82191699094827,67472523264,60.99944692163625,80.08174622564877,0.5245957443803279,supported
