state_mode,model,case,phase,batch,tokens,weight_precision,weight_precision_policy,variant,cycles,latency_us_proxy,speedup_vs_A,speedup_vs_B,speedup_vs_C_fixed,speedup_vs_D_phased,bank_stall_cycles,matrix_sram_service_cycles,matrix_sram_ideal_cycles,recurrence_cycles,recurrence_coefficient_prep_cycles,recurrence_coefficient_prep_elementwise_ops,recurrence_coefficient_prep_exp_ops,recurrence_issue_cycles,recurrence_vector_arithmetic_cycles,vector_cycle_share,lcompute_cycle_share,physical_hbm_read_bytes,physical_hbm_write_bytes
plena_bf16_matrix_streamed,nemotron3,decode_b1_t128,decode,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,257917296,257917.296,2.012912356215149,1.5439128983424206,1.0887135851486285,1.0,0,6170624,6170624,10775040,0,0,0,800768,3803648,0.0015303510315958027,0.04177711292382656,371183714304,3546234880
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s16,prefill,1,16,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,10643440,10643.44,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.047354802582623666,0.0,14522599168,64563200
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s16,prefill,1,16,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,10643440,10643.44,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.047354802582623666,0.0,14522599168,64563200
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s16,prefill,1,16,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,10643440,10643.44,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.047354802582623666,0.0,14522599168,64563200
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s16,prefill,1,16,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,10643440,10643.44,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.047354802582623666,0.0,14522599168,64563200
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s16,prefill,1,16,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,E_phased_plus_static_overlap,10643440,10643.44,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.047354802582623666,0.0,14522599168,64563200
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s128,prefill,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,A_original_fixed,22765583,22765.583,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.17747860882807173,0.0,18974357248,339771392
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s128,prefill,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,B_arlo_static,22765583,22765.583,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.17747860882807173,0.0,18974357248,339771392
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s128,prefill,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,C_fixed_single_base_descriptor,22765583,22765.583,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.17747860882807173,0.0,18974357248,339771392
plena_bf16_matrix_streamed,nemotron3,prefill_b1_s128,prefill,1,128,nvfp4,nemotron3_nano_30b_a3b_nvfp4_checkpoint_mixed_v1,D_compact_phased_mapping,22765583,22765.583,1.0,1.0,1.0,1.0,0,0,0,0,0,0,0,0,0,0.17747860882807173,0.0,18974357248,339771392
