B_cycles,E_cycles,E_stream_speedup_vs_B,F_bank_conflict_stalls,F_cycles,F_speedup_vs_B,G_affine_incremental_speedup_vs_E,G_cycles,G_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,eligible_for_freeze,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,local_projection_packet_speedup_upper_bound,local_state_packet_speedup_upper_bound,model,point
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,0.9999253670431831,2840139384,1.006286660471872,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841517176,1.0057987332046308,True,16,4,16,4,1000,2,0,0,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,fifo_0
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,0.997610933064942,78865936,1.018671584649677,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,79042576,1.0163951134386107,True,16,4,16,4,1000,2,0,16,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,fifo_16
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,0.9999253670431831,2840139384,1.006286660471872,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841517176,1.0057987332046308,True,16,4,16,4,1000,2,0,16,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,fifo_16
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,0.997610933064942,78865936,1.018671584649677,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,79042576,1.0163951134386107,True,16,4,16,4,1000,2,0,32,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,fifo_32
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,0.9999253670431831,2840139384,1.006286660471872,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841517176,1.0057987332046308,True,16,4,16,4,1000,2,0,32,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,fifo_32
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,True,16,4,16,4,1000,2,0,128,64,512,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,fifo_128
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,128,64,512,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,fifo_128
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,False,16,4,16,4,1000,2,0,64,64,512,4,64,1,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,slots_1
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841305208,1.0058737681376186,False,16,4,16,4,1000,2,0,64,64,512,4,64,1,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,slots_1
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,False,16,4,16,4,1000,2,0,64,64,512,4,64,2,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,slots_2
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841305208,1.0058737681376186,False,16,4,16,4,1000,2,0,64,64,512,4,64,2,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,slots_2
80338488,78677520,1.0211110873855709,0,78865936,1.018671584649677,1.0,78677520,1.0211110873855709,33161216,111991824,1.4168544304527726,79042576,0,1507328,0.9953815270393009,78854160,1.018823712027368,True,16,4,16,4,1000,2,0,64,64,512,4,64,8,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,slots_8
2857994376,2839927416,1.0063617682262622,0,2840139384,1.006286660471872,1.0,2839927416,1.0063617682262622,298450944,3139544184,1.104883057022211,2841517176,0,13565952,0.999440524233523,2841305208,1.0058737681376186,True,16,4,16,4,1000,2,0,64,64,512,4,64,8,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,slots_8
243180192,241519224,1.0068771668461471,0,241707640,1.0060922857051602,1.0,241519224,1.0068771668461471,33161216,274833528,1.1362190548306819,241884280,0,1507328,0.9984907824518402,241695864,1.0061413049252677,True,16,4,16,4,1000,2,0,64,64,64,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,hbm_64
10401330416,10383263456,1.0017400078575065,0,10383475424,1.0017195583627743,1.0,10383263456,1.0017400078575065,298450944,10682880224,1.0286982398115005,10384853216,0,13565952,0.9998469155059841,10384641248,1.001607101064104,True,16,4,16,4,1000,2,0,64,64,64,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,hbm_64
150127308,148466340,1.011187505531557,0,148654756,1.00990585191906,1.0,148466340,1.011187505531557,33161216,181780644,1.2213864069379554,148831396,0,1507328,0.9975471841976138,148642980,1.0099858600789624,True,16,4,16,4,1000,2,0,64,64,128,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,hbm_128
6090852616,6072785656,1.002975069601238,0,6072997624,1.0029400624050038,1.0,6072785656,1.002975069601238,298450944,6372402424,1.0490629879765074,6074375416,0,13565952,0.9997382842035393,6074163448,1.0027475664991359,True,16,4,16,4,1000,2,0,64,64,128,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,hbm_128
103600912,101939944,1.0162935934122153,0,102128360,1.0144186394454977,1.0,101939944,1.0162935934122153,33161216,135254248,1.3220687942915792,102305000,0,1507328,0.9964316895557402,102116584,1.014535621363911,True,16,4,16,4,1000,2,0,64,64,256,4,64,4,8,64,64,2,8,1,64,1,1,8.218045112781954,1.8,nemotron3,hbm_256
3935613788,3917546828,1.0046118044769419,0,3917758796,1.0045574505552077,1.0,3917546828,1.0046118044769419,298450944,4217163596,1.076044047281365,3919136588,0,13565952,0.9995943596339899,3918924620,1.0042586090875103,True,16,4,16,4,1000,2,0,64,64,256,4,64,4,8,64,64,2,8,1,64,1,1,2.92964824120603,1.0,kimi_k3,hbm_256
