bank_conflict_stall_cycles,batch_size,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,1,1791066902,prefill_s128,0,0,0,18974357248,365019136,nemotron3,0,0,0,0,0,0,prefill,18974357248,365019136,"{""hbm"": 37772246, ""matrix"": 1624101888, ""vector"": 129292928}","{""hbm"": 35618662, ""matrix"": 0, ""vector"": 0}",1.0,1256,128,H_packet_row_major
0,1,1797096214,prefill_s128,0,6029312,6029312,18974357248,365019136,nemotron3,0,0,0,0,0,0,prefill,18974357248,365019136,"{""banked_output_sram"": 6029312, ""hbm"": 37772246, ""matrix"": 1624101888, ""vector"": 129292928}","{""banked_output_sram"": 0, ""hbm"": 35618662, ""matrix"": 0, ""vector"": 0}",0.9966449698391051,1279,128,I_packet_affine
0,1,1791066902,prefill_s128,0,6029312,6029312,18974357248,365019136,nemotron3,0,0,0,0,0,0,prefill,18974357248,365019136,"{""banked_output_sram"": 6029312, ""hbm"": 37772246, ""matrix"": 1624101888, ""vector"": 129292928}","{""banked_output_sram"": 0, ""hbm"": 35618662, ""matrix"": 0, ""vector"": 0}",1.0,1279,128,J_packet_affine_overlap
0,1,674554112,decode_32,0,0,1507328,93594419200,1694486528,nemotron3,0,0,0,0,0,0,decode,93594419200,1694486528,"{""banked_output_sram"": 1507328, ""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 70906112}","{""banked_output_sram"": 0, ""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",0.9529346935476097,39648,32,A_row_gather_static
0,1,642806016,decode_32,0,0,0,93594419200,1694486528,nemotron3,0,0,0,0,0,0,decode,93594419200,1694486528,"{""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 40665344}","{""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",1.0,38912,32,B_arlo_stride_postincrement
0,1,642806016,decode_32,0,0,0,93594419200,1694486528,nemotron3,0,0,0,0,0,0,decode,93594419200,1694486528,"{""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 40665344}","{""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",1.0,38912,32,C_consumer_major
0,1,644313344,decode_32,0,1507328,1507328,93594419200,1694486528,nemotron3,0,0,0,0,0,0,decode,93594419200,1694486528,"{""banked_output_sram"": 1507328, ""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 40665344}","{""banked_output_sram"": 0, ""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",0.9976605668437002,39648,32,D_affine_layout
0,1,629518272,decode_32,0,0,0,93594419200,1694486528,nemotron3,0,0,0,0,0,0,decode,93594419200,1694486528,"{""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 27377600}","{""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",1.0211077971697062,38912,32,E_stream_addressing
0,1,631025600,decode_32,0,1507328,1507328,93594419200,1694486528,nemotron3,0,0,0,0,0,0,decode,93594419200,1694486528,"{""banked_output_sram"": 1507328, ""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 27377600}","{""banked_output_sram"": 0, ""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",1.0186686815875616,39648,32,F_affine_plus_stream
0,1,629518272,decode_32,0,1507328,1507328,93594419200,1694486528,nemotron3,0,0,0,0,0,0,decode,93594419200,1694486528,"{""banked_output_sram"": 1507328, ""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 27377600}","{""banked_output_sram"": 0, ""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",1.0211077971697062,39648,32,G_affine_stream_overlap
265289728,1,896032704,decode_32,0,0,0,93594419200,1694486528,nemotron3,30146560,0,12058624,18087936,295436288,12058624,decode,93594419200,1694486528,"{""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 293892032}","{""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",0.7173912437910303,38912,32,H_packet_row_major
0,1,632438720,decode_32,0,1507328,1507328,93594419200,1694486528,nemotron3,30146560,771751936,12058624,18087936,30146560,12058624,decode,93594419200,1694486528,"{""banked_output_sram"": 1507328, ""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 28790720}","{""banked_output_sram"": 0, ""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",1.0163925700184833,39648,32,I_packet_affine
0,1,630931392,decode_32,0,1507328,1507328,93594419200,1694486528,nemotron3,30146560,771751936,12058624,18087936,30146560,12058624,decode,93594419200,1694486528,"{""banked_output_sram"": 1507328, ""hbm"": 186117888, ""matrix"": 416028672, ""vector"": 28790720}","{""banked_output_sram"": 0, ""hbm"": 158718400, ""matrix"": 0, ""vector"": 0}",1.0188207848754496,39648,32,J_packet_affine_overlap
0,1,7764907239,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,A_row_gather_static
0,1,7764907239,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,B_arlo_stride_postincrement
0,1,7764907239,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,C_consumer_major
0,1,7765755111,prefill_s16,0,847872,847872,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 847872, ""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""banked_output_sram"": 0, ""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",0.9998908191170233,4323,16,D_affine_layout
0,1,7764907239,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,E_stream_addressing
0,1,7765755111,prefill_s16,0,847872,847872,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 847872, ""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""banked_output_sram"": 0, ""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",0.9998908191170233,4323,16,F_affine_plus_stream
0,1,7764907239,prefill_s16,0,847872,847872,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 847872, ""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""banked_output_sram"": 0, ""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",1.0,4323,16,G_affine_stream_overlap
0,1,7764907239,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,H_packet_row_major
0,1,7765755111,prefill_s16,0,847872,847872,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 847872, ""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""banked_output_sram"": 0, ""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",0.9998908191170233,4323,16,I_packet_affine
0,1,7764907239,prefill_s16,0,847872,847872,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 847872, ""hbm"": 1025259195, ""matrix"": 6512170240, ""vector"": 227477804}","{""banked_output_sram"": 0, ""hbm"": 97594464, ""matrix"": 0, ""vector"": 0}",1.0,4323,16,J_packet_affine_overlap
0,1,2913745272,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 127906256}","{""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",0.9808662423116581,16836,4,A_row_gather_static
0,1,2857994376,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 72155360}","{""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",1.0,16836,4,B_arlo_stride_postincrement
0,1,2857994376,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 1077619560, ""matrix"": 1708219456, ""vector"": 72155360}","{""hbm"": 395252544, ""matrix"": 0, ""vector"": 0}",1.0,16836,4,C_consumer_major
