B_cycles,E_cycles,E_stream_speedup_vs_B,F_bank_conflict_stalls,F_cycles,F_speedup_vs_B,G_affine_incremental_speedup_vs_E,G_cycles,G_speedup_vs_B,H_packet_bank_conflict_stalls,H_packet_row_cycles,I_affine_speedup_vs_H_packet_row,I_packet_affine_cycles,I_packet_bank_conflict_stalls,I_packet_ops,I_packet_speedup_vs_E_ordinary_row,J_packet_affine_overlap_cycles,J_packet_speedup_vs_B_arlo,eligible_for_freeze,hw_activation_bits,hw_bank_width,hw_banks,hw_blen,hw_clock_period_ps,hw_exp_latency,hw_explicit_state_resident_bytes,hw_fifo_values,hw_hbm_burst_bytes,hw_hbm_bytes_per_cycle,hw_kda_parallel_heads,hw_kda_recurrent_row_elements,hw_layout_slots,hw_mamba_parallel_heads,hw_mamba_recurrent_row_elements,hw_mlen,hw_read_ports_per_bank,hw_reduction_latency,hw_vector_add_latency,hw_vector_lanes,hw_vector_mul_latency,hw_write_ports_per_bank,local_projection_packet_speedup_upper_bound,local_state_packet_speedup_upper_bound,model,point
393139028,383600468,1.0248658716443484,0,383613716,1.0248304781677826,1.0,383600468,1.0248658716443484,19501056,397325396,1.0512823221134187,377943572,0,423936,1.0149675676981749,377930324,1.0402420844113054,True,16,64,32,32,1000,2,0,2048,64,1560,4,128,8,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,slots_8
191041644,189380676,1.0087705252461978,0,189392452,1.0087078021462017,1.0,189380676,1.0087705252461978,2166784,190216772,1.0113323891802377,188085316,0,47104,1.0068870873471059,188073540,1.015781613936761,True,16,64,32,32,1000,2,0,2048,64,64,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_64
8660409676,8650871116,1.0011026126585516,0,8650884364,1.001101079565881,1.0,8650871116,1.0011026126585516,19501056,8664596044,1.0022419136769523,8645214220,0,423936,1.0006543384415985,8645200972,1.001759207686352,True,16,64,32,32,1000,2,0,2048,64,64,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_64
97988760,96327792,1.0172428742060236,0,96339568,1.0171185322317409,1.0,96327792,1.0172428742060236,2166784,97163888,1.0224287220177635,95032432,0,47104,1.0136307150384196,95020656,1.0312364082184404,True,16,64,32,32,1000,2,0,2048,64,128,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_128
4349931876,4340393316,1.0021976257231893,0,4340406564,1.0021945667668564,1.0,4340393316,1.0021976257231893,19501056,4354118244,1.0044712808627936,4334736420,0,423936,1.0013050149886622,4334723172,1.0035085756106041,True,16,64,32,32,1000,2,0,2048,64,128,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_128
51462364,49801396,1.0333518361613798,0,49813172,1.0331075483408283,1.0,49801396,1.0333518361613798,2166784,50637492,1.0439420776416362,48506036,0,47104,1.0267051300584529,48494260,1.0612052642931349,True,16,64,32,32,1000,2,0,2048,64,256,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_256
2194693048,2185154488,1.0043651650500602,0,2185167736,1.0043590758929273,1.0,2185154488,1.0043651650500602,19501056,2198879416,1.00889279440874,2179497592,0,423936,1.002595504588197,2179484344,1.0069781203255113,True,16,64,32,32,1000,2,0,2048,64,256,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_256
28199940,26538972,1.0625859961719692,0,26550748,1.0621147095366201,1.0,26538972,1.0625859961719692,2166784,27375068,1.0844354603453736,25243612,0,47104,1.0513143681656967,25231836,1.117633294699601,True,16,64,32,32,1000,2,0,2048,64,512,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_512
1117073636,1107535076,1.008612422492703,0,1107548324,1.0086003579199132,1.0,1107535076,1.008612422492703,19501056,1121260004,1.0175898065247104,1101878180,0,423936,1.0051338669761116,1101864932,1.0138026935591775,True,16,64,32,32,1000,2,0,2048,64,512,4,128,4,8,64,2048,2,8,1,2048,1,1,1.436931079323797,1.0,kimi_k3,hbm_512
16568912,14907944,1.1114149610435886,0,14919720,1.1105377312710962,1.0,14907944,1.1114149610435886,2166784,15744040,1.156579823492733,13612584,0,47104,1.0951590087524896,13600808,1.2182299757484996,True,16,64,32,32,1000,2,0,2048,64,1024,4,128,4,8,64,2048,2,8,1,2048,1,1,5.8,1.2,nemotron3,hbm_1024
