bank_conflict_stall_cycles,batch_size,cycles,experiment,fifo_stall_cycles,lane_restore_cycles,layout_service_cycles,logical_hbm_read_bytes,logical_hbm_write_bytes,model,packet_bandwidth_floor_cycles,packet_inverse_rotation_values,packet_ops,packet_read_packets,packet_service_cycles,packet_write_packets,phase,physical_hbm_read_bytes,physical_hbm_write_bytes,resource_busy_cycles,resource_queue_wait_cycles,speedup_vs_arlo_B,timeline_event_count,tokens,variant
0,1,369096858,prefill_s16,0,52992,52992,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 52992, ""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""banked_output_sram"": 0, ""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",0.99985642792982,4323,16,F_affine_plus_stream
0,1,369043866,prefill_s16,0,52992,52992,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 52992, ""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""banked_output_sram"": 0, ""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",1.0,4323,16,G_affine_stream_overlap
0,1,369043866,prefill_s16,0,0,0,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",1.0,4254,16,H_packet_row_major
0,1,369096858,prefill_s16,0,52992,52992,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 52992, ""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""banked_output_sram"": 0, ""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",0.99985642792982,4323,16,I_packet_affine
0,1,369043866,prefill_s16,0,52992,52992,524456506880,476200960,kimi_k3,0,0,0,0,0,0,prefill,524456506880,476200960,"{""banked_output_sram"": 52992, ""hbm"": 336496552, ""matrix"": 25438216, ""vector"": 7109098}","{""banked_output_sram"": 0, ""hbm"": 32031192, ""matrix"": 0, ""vector"": 0}",1.0,4323,16,J_packet_affine_overlap
0,1,420509396,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 60151216}","{""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",0.9349113996967621,16836,4,A_row_gather_static
0,1,393139028,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 32780848}","{""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",1.0,16836,4,B_arlo_stride_postincrement
0,1,393139028,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 32780848}","{""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",1.0,16836,4,C_consumer_major
0,1,393152276,decode_4,0,13248,13248,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""banked_output_sram"": 13248, ""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 32780848}","{""banked_output_sram"": 0, ""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",0.9999663031328858,17112,4,D_affine_layout
0,1,383600468,decode_4,0,0,0,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 23242288}","{""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",1.0248658716443484,16836,4,E_stream_addressing
0,1,383613716,decode_4,0,13248,13248,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""banked_output_sram"": 13248, ""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 23242288}","{""banked_output_sram"": 0, ""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",1.0248304781677826,17112,4,F_affine_plus_stream
0,1,383600468,decode_4,0,13248,13248,549917885312,1823272960,kimi_k3,0,0,0,0,0,0,decode,549917885440,1823272960,"{""banked_output_sram"": 13248, ""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 23242288}","{""banked_output_sram"": 0, ""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",1.0248658716443484,17112,4,G_affine_stream_overlap
19501056,1,397325396,decode_4,0,0,0,549917885312,1823272960,kimi_k3,1059840,0,423936,635904,20560896,423936,decode,549917885440,1823272960,"{""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 36967216}","{""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",0.989463628446242,16836,4,H_packet_row_major
0,1,377943572,decode_4,0,13248,13248,549917885312,1823272960,kimi_k3,1059840,868220928,423936,635904,1059840,423936,decode,549917885440,1823272960,"{""banked_output_sram"": 13248, ""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 17572144}","{""banked_output_sram"": 0, ""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",1.0402056209597341,17112,4,I_packet_affine
0,1,377930324,decode_4,0,13248,13248,549917885312,1823272960,kimi_k3,1059840,868220928,423936,635904,1059840,423936,decode,549917885440,1823272960,"{""banked_output_sram"": 13248, ""hbm"": 353684952, ""matrix"": 6673228, ""vector"": 17572144}","{""banked_output_sram"": 0, ""hbm"": 129724920, ""matrix"": 0, ""vector"": 0}",1.0402420844113054,17112,4,J_packet_affine_overlap
