sequence_length,mlen,chip_count,local_sequence_length,k_blocks,projection_tiles,policy,duplicate_physical_policy,matrix_sram_tiles,logical_matrix_sram_mb,resident_prefix_blocks,streaming_blocks,requested_residency_fraction,realized_residency_fraction,kv_tile_load_count,streaming_kv_tile_load_count,kv_tile_load_ratio_vs_streaming,kv_tile_load_reduction_pct,kv_cache_hits,peak_live_tiles,tile_utilization,q_tail_rows,tail_isa_limitation
4097,2048,1,4097,3,13,streaming,False,2,12.582912,0,3,0.0,0.0,12,12,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,2048,1,4097,3,13,projection-full,False,13,81.788928,3,0,1.0,1.0,6,12,0.5,50.0,12,6,0.46153846153846156,1,active_row_bmm_unavailable
4097,2048,1,4097,3,13,kv-25,True,13,81.788928,3,0,0.25,1.0,6,12,0.5,50.0,12,6,0.46153846153846156,1,active_row_bmm_unavailable
4097,2048,1,4097,3,13,kv-50,True,13,81.788928,3,0,0.5,1.0,6,12,0.5,50.0,12,6,0.46153846153846156,1,active_row_bmm_unavailable
4097,2048,1,4097,3,13,kv-75,True,13,81.788928,3,0,0.75,1.0,6,12,0.5,50.0,12,6,0.46153846153846156,1,active_row_bmm_unavailable
4097,2048,1,4097,3,13,kv-100,True,13,81.788928,3,0,1.0,1.0,6,12,0.5,50.0,12,6,0.46153846153846156,1,active_row_bmm_unavailable
4097,2048,2,2049,2,13,streaming,False,2,12.582912,0,2,0.0,0.0,6,6,1.0,0.0,0,2,1.0,1,active_row_bmm_unavailable
4097,2048,2,2049,2,13,projection-full,False,13,81.788928,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,1,active_row_bmm_unavailable
4097,2048,2,2049,2,13,kv-25,True,13,81.788928,2,0,0.25,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,1,active_row_bmm_unavailable
4097,2048,2,2049,2,13,kv-50,True,13,81.788928,2,0,0.5,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,1,active_row_bmm_unavailable
4097,2048,2,2049,2,13,kv-75,True,13,81.788928,2,0,0.75,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,1,active_row_bmm_unavailable
4097,2048,2,2049,2,13,kv-100,True,13,81.788928,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.3076923076923077,1,active_row_bmm_unavailable
4097,2048,4,1025,1,13,streaming,False,2,12.582912,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,1025,active_row_bmm_unavailable
4097,2048,4,1025,1,13,projection-full,False,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1025,active_row_bmm_unavailable
4097,2048,4,1025,1,13,kv-25,True,13,81.788928,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1025,active_row_bmm_unavailable
4097,2048,4,1025,1,13,kv-50,True,13,81.788928,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1025,active_row_bmm_unavailable
4097,2048,4,1025,1,13,kv-75,True,13,81.788928,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1025,active_row_bmm_unavailable
4097,2048,4,1025,1,13,kv-100,True,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,1025,active_row_bmm_unavailable
4097,2048,8,513,1,13,streaming,False,2,12.582912,0,1,0.0,0.0,2,2,1.0,0.0,0,2,1.0,513,active_row_bmm_unavailable
4097,2048,8,513,1,13,projection-full,False,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,513,active_row_bmm_unavailable
4097,2048,8,513,1,13,kv-25,True,13,81.788928,1,0,0.25,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,513,active_row_bmm_unavailable
4097,2048,8,513,1,13,kv-50,True,13,81.788928,1,0,0.5,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,513,active_row_bmm_unavailable
4097,2048,8,513,1,13,kv-75,True,13,81.788928,1,0,0.75,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,513,active_row_bmm_unavailable
4097,2048,8,513,1,13,kv-100,True,13,81.788928,1,0,1.0,1.0,2,2,1.0,0.0,2,2,0.15384615384615385,513,active_row_bmm_unavailable
8192,512,1,8192,16,50,streaming,False,2,0.786432,0,16,0.0,0.0,272,272,1.0,0.0,0,2,1.0,0,
8192,512,1,8192,16,50,projection-full,False,50,19.6608,16,0,1.0,1.0,32,272,0.11764705882352941,88.23529411764706,272,32,0.64,0,
8192,512,1,8192,16,50,kv-25,True,50,19.6608,16,0,0.25,1.0,32,272,0.11764705882352941,88.23529411764706,272,32,0.64,0,
8192,512,1,8192,16,50,kv-50,True,50,19.6608,16,0,0.5,1.0,32,272,0.11764705882352941,88.23529411764706,272,32,0.64,0,
8192,512,1,8192,16,50,kv-75,True,50,19.6608,16,0,0.75,1.0,32,272,0.11764705882352941,88.23529411764706,272,32,0.64,0,
8192,512,1,8192,16,50,kv-100,True,50,19.6608,16,0,1.0,1.0,32,272,0.11764705882352941,88.23529411764706,272,32,0.64,0,
8192,512,2,4096,8,50,streaming,False,2,0.786432,0,8,0.0,0.0,72,72,1.0,0.0,0,2,1.0,0,
8192,512,2,4096,8,50,projection-full,False,50,19.6608,8,0,1.0,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
8192,512,2,4096,8,50,kv-25,True,50,19.6608,8,0,0.25,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
8192,512,2,4096,8,50,kv-50,True,50,19.6608,8,0,0.5,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
8192,512,2,4096,8,50,kv-75,True,50,19.6608,8,0,0.75,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
8192,512,2,4096,8,50,kv-100,True,50,19.6608,8,0,1.0,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.32,0,
8192,512,4,2048,4,50,streaming,False,2,0.786432,0,4,0.0,0.0,20,20,1.0,0.0,0,2,1.0,0,
8192,512,4,2048,4,50,projection-full,False,50,19.6608,4,0,1.0,1.0,8,20,0.4,60.0,20,8,0.16,0,
8192,512,4,2048,4,50,kv-25,True,50,19.6608,4,0,0.25,1.0,8,20,0.4,60.0,20,8,0.16,0,
8192,512,4,2048,4,50,kv-50,True,50,19.6608,4,0,0.5,1.0,8,20,0.4,60.0,20,8,0.16,0,
8192,512,4,2048,4,50,kv-75,True,50,19.6608,4,0,0.75,1.0,8,20,0.4,60.0,20,8,0.16,0,
8192,512,4,2048,4,50,kv-100,True,50,19.6608,4,0,1.0,1.0,8,20,0.4,60.0,20,8,0.16,0,
8192,512,8,1024,2,50,streaming,False,2,0.786432,0,2,0.0,0.0,6,6,1.0,0.0,0,2,1.0,0,
8192,512,8,1024,2,50,projection-full,False,50,19.6608,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
8192,512,8,1024,2,50,kv-25,True,50,19.6608,2,0,0.25,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
8192,512,8,1024,2,50,kv-50,True,50,19.6608,2,0,0.5,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
8192,512,8,1024,2,50,kv-75,True,50,19.6608,2,0,0.75,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
8192,512,8,1024,2,50,kv-100,True,50,19.6608,2,0,1.0,1.0,4,6,0.6666666666666666,33.333333333333336,6,4,0.08,0,
8192,1024,1,8192,8,25,streaming,False,2,3.145728,0,8,0.0,0.0,72,72,1.0,0.0,0,2,1.0,0,
8192,1024,1,8192,8,25,projection-full,False,25,39.3216,8,0,1.0,1.0,16,72,0.2222222222222222,77.77777777777779,72,16,0.64,0,
